horizon,response,impulse,effect
5,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,-0.03489933
5,nim_qoq_change_pp,npl_ratio_qoq_change_pp,0.00099917
5,nim_qoq_change_pp,loan_yoy_change_pp,-9.39e-05
5,nim_qoq_change_pp,nim_qoq_change_pp,0.00191532
5,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.00290383
5,capital_adequacy_qoq_change_pp,npl_ratio_qoq_change_pp,0.11030812
5,capital_adequacy_qoq_change_pp,loan_yoy_change_pp,0.0001666
5,capital_adequacy_qoq_change_pp,nim_qoq_change_pp,0.03238062
5,capital_adequacy_qoq_change_pp,capital_adequacy_qoq_change_pp,0.00584542
6,npl_ratio_qoq_change_pp,npl_ratio_qoq_change_pp,-0.0010564
6,npl_ratio_qoq_change_pp,loan_yoy_change_pp,-9.91e-06
6,npl_ratio_qoq_change_pp,nim_qoq_change_pp,-2.18e-06
6,npl_ratio_qoq_change_pp,capital_adequacy_qoq_change_pp,3.006e-05
6,loan_yoy_change_pp,npl_ratio_qoq_change_pp,-0.10528298
6,loan_yoy_change_pp,loan_yoy_change_pp,-0.00067404
6,loan_yoy_change_pp,nim_qoq_change_pp,-0.03944957
6,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,-0.00861448
6,nim_qoq_change_pp,npl_ratio_qoq_change_pp,-0.01161091
6,nim_qoq_change_pp,loan_yoy_change_pp,1.82e-05
6,nim_qoq_change_pp,nim_qoq_change_pp,-0.00432549
6,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.00052982
6,capital_adequacy_qoq_change_pp,npl_ratio_qoq_change_pp,0.01562193
6,capital_adequacy_qoq_change_pp,loan_yoy_change_pp,9.149e-05
6,capital_adequacy_qoq_change_pp,nim_qoq_change_pp,0.00329647
6,capital_adequacy_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.00374315
7,npl_ratio_qoq_change_pp,npl_ratio_qoq_change_pp,0.00043213
7,npl_ratio_qoq_change_pp,loan_yoy_change_pp,2e-07
7,npl_ratio_qoq_change_pp,nim_qoq_change_pp,4.446e-05
7,npl_ratio_qoq_change_pp,capital_adequacy_qoq_change_pp,2.527e-05
7,loan_yoy_change_pp,npl_ratio_qoq_change_pp,-0.03924956
7,loan_yoy_change_pp,loan_yoy_change_pp,9.784e-05
7,loan_yoy_change_pp,nim_qoq_change_pp,-0.00904867
7,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,0.00455423
7,nim_qoq_change_pp,npl_ratio_qoq_change_pp,-0.00184983
7,nim_qoq_change_pp,loan_yoy_change_pp,-1.568e-05
7,nim_qoq_change_pp,nim_qoq_change_pp,-7.41e-05
7,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,0.00046356
7,capital_adequacy_qoq_change_pp,npl_ratio_qoq_change_pp,-0.01781153
7,capital_adequacy_qoq_change_pp,loan_yoy_change_pp,-5.05e-06
7,capital_adequacy_qoq_change_pp,nim_qoq_change_pp,-0.00534418
7,capital_adequacy_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.0011308
8,npl_ratio_qoq_change_pp,npl_ratio_qoq_change_pp,-6.55e-06
8,npl_ratio_qoq_change_pp,loan_yoy_change_pp,8.7e-07
8,npl_ratio_qoq_change_pp,nim_qoq_change_pp,1.595e-05
8,npl_ratio_qoq_change_pp,capital_adequacy_qoq_change_pp,-5.34e-06
8,loan_yoy_change_pp,npl_ratio_qoq_change_pp,0.02591662
8,loan_yoy_change_pp,loan_yoy_change_pp,-8.308e-05
8,loan_yoy_change_pp,nim_qoq_change_pp,0.00825236
8,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,0.00187358
8,nim_qoq_change_pp,npl_ratio_qoq_change_pp,0.00244549
8,nim_qoq_change_pp,loan_yoy_change_pp,5.7e-07
8,nim_qoq_change_pp,nim_qoq_change_pp,0.00063457
8,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,0.00010929
8,capital_adequacy_qoq_change_pp,npl_ratio_qoq_change_pp,-0.00325873
8,capital_adequacy_qoq_change_pp,loan_yoy_change_pp,-2.074e-05
8,capital_adequacy_qoq_change_pp,nim_qoq_change_pp,-0.00069378
8,capital_adequacy_qoq_change_pp,capital_adequacy_qoq_change_pp,0.00056634
